section,row
107,R
107,R
107,R
107,R
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,S
107,T
107,T
107,T
107,T
107,T
107,T
107,T
107,T
107,T
107,T
107,T
107,T
107,T
107,T
107,T
107,T
108,A
108,A
108,A
108,A
108,A
108,A
108,A
108,A
108,A
108,A
108,A
108,A
108,A
108,A
108,B
108,B
108,B
108,B
108,B
108,B
108,B
108,B
108,B
108,B
108,B
108,B
108,B
108,B
108,C
108,C
108,C
108,C
108,C
108,C
108,C
108,C
108,C
108,C
108,C
108,C
108,C
108,C
108,D
108,D
108,D
108,D
108,D
108,D
108,D
108,D
108,D
108,D
108,D
108,D
108,D
108,D
108,E
108,E
108,E
108,E
108,E
108,E
108,E
108,E
108,E
108,E
108,E
108,E
108,E
108,E
108,F
108,F
108,F
108,F
108,F
108,F
108,F
108,F
108,F
108,F
108,F
108,F
108,F
108,F
108,G
108,G
108,G
108,G
108,G
108,G
108,G
108,G
108,G
108,G
108,G
108,G
108,G
108,G
108,G
108,H
108,H
108,H
108,H
108,H
108,H
108,H
108,H
108,H
108,H
108,H
108,H
108,H
108,H
108,H
108,J
108,J
108,J
108,J
108,J
108,J
108,J
108,J
108,J
108,J
108,J
108,J
108,J
108,J
108,J
108,J
108,K
108,K
108,K
108,K
108,K
108,K
108,K
108,K
108,K
108,K
108,K
108,K
108,K
108,K
108,K
108,K
108,L
108,L
108,L
108,L
108,L
108,L
108,L
108,L
108,L
108,L
108,L
108,L
108,L
108,L
108,L
108,L
108,M
108,M
108,M
108,M
108,M
108,M
108,M
108,M
108,M
108,M
108,M
108,M
108,M
108,M
108,M
108,M
108,N
108,N
108,N
108,N
108,N
108,N
108,N
108,N
108,N
108,N
108,N
108,N
108,N
108,N
108,N
108,N
108,P
108,P
108,P
108,P
108,P
108,P
108,P
108,P
108,P
108,P
108,P
108,P
108,P
108,P
108,P
108,P
108,R
108,R
108,R
108,R
108,R
108,R
108,R
108,R
108,R
108,R
108,R
108,R
108,R
108,R
108,R
108,R
108,S
108,S
108,S
108,S
108,S
108,S
108,S
108,S
108,S
108,S
108,S
108,S
108,S
108,S
108,S
108,S
108,T
108,T
108,T
108,T
108,T
108,T
108,T
108,T
108,T
108,T
108,T
108,T
108,T
108,T
108,T
108,T
108,U
108,U
108,U
108,U
108,U
108,U
108,U
108,U
108,U
108,U
108,U
108,U
108,U
108,U
108,U
108,U
108,V
108,V
108,V
108,V
108,V
108,V
108,V
108,V
108,V
108,V
108,V
108,V
109,A
109,A
109,A
109,A
109,A
109,A
109,A
109,A
109,A
109,A
109,A
109,A
109,A
109,A
109,A
109,A
109,B
109,B
109,B
109,B
109,B
109,B
109,B
109,B
109,B
109,B
109,B
109,B
109,B
109,B
109,B
109,B
109,C
109,C
109,C
109,C
109,C
109,C
109,C
109,C
109,C
109,C
109,C
109,C
109,C
109,C
109,C
109,C
109,D
109,D
109,D
109,D
109,D
109,D
109,D
109,D
109,D
109,D
109,D
109,D
109,D
109,D
109,D
109,D
109,E
109,E
109,E
109,E
109,E
109,E
109,E
109,E
109,E
109,E
109,E
109,E
109,E
109,E
109,E
109,E
109,F
109,F
109,F
109,F
109,F
109,F
109,F
109,F
109,F
109,F
109,F
109,F
109,F
109,F
109,F
109,F
109,G
109,G
109,G
109,G
109,G
109,G
109,G
109,G
109,G
109,G
109,G
109,G
109,G
109,G
109,G
109,G
109,H
109,H
109,H
109,H
109,H
109,H
109,H
109,H
109,H
109,H
109,H
109,H
109,H
109,H
109,H
109,H
109,J
109,J
109,J
109,J
109,J
109,J
109,J
109,J
109,J
109,J
109,J
109,J
109,J
109,J
109,J
109,J
109,K
109,K
109,K
109,K
109,K
109,K
109,K
109,K
109,K
109,K
109,K
109,K
109,K
109,K
