Area,Section,Row,Seat,Lock,Allocation,Total-Seats,Seat-Type
102,102,10,6,OPENHOLD,,1,
102,102,10,7,OPENHOLD,,1,
102,102,10,8,OPENHOLD,,1,
102,102,10,9,OPENHOLD,,1,
102,102,10,10,OPENHOLD,,1,
102,102,10,11,OPENHOLD,,1,
102,102,10,12,OPENHOLD,,1,
102,102,10,13,OPENHOLD,,1,
102,102,10,14,OPENHOLD,,1,
102,102,10,15,OPENHOLD,,1,
102,102,10,16,OPENHOLD,,1,
102,102,10,17,OPENHOLD,,1,
102,102,10,18,OPENHOLD,,1,
102,102,10,19,OPENHOLD,,1,
102,102,10,20,OPENHOLD,,1,
102,102,10,21,OPENHOLD,,1,
102,102,11,1,OPENHOLD,,1,
102,102,11,2,OPENHOLD,,1,
102,102,11,3,OPENHOLD,,1,
102,102,11,4,OPENHOLD,,1,
102,102,11,5,CARMEN,,1,
102,102,11,6,CARMEN,,1,
102,102,11,7,OPENHOLD,,1,
102,102,11,8,OPENHOLD,,1,
102,102,11,9,OPENHOLD,,1,
102,102,11,10,OPENHOLD,,1,
102,102,11,11,OPENHOLD,,1,
102,102,11,12,OPENHOLD,,1,
102,102,11,13,OPENHOLD,,1,
102,102,11,14,OPENHOLD,,1,
102,102,11,15,OPENHOLD,,1,
102,102,11,16,OPENHOLD,,1,
102,102,11,17,OPENHOLD,,1,
102,102,11,18,OPENHOLD,,1,
102,102,11,19,OPENHOLD,,1,
102,102,11,20,OPENHOLD,,1,
102,102,11,21,OPENHOLD,,1,
102,102,11,22,OPENHOLD,,1,
102,102,12,1,OPENHOLD,,1,
102,102,12,2,OPENHOLD,,1,
102,102,12,3,OPENHOLD,,1,
102,102,12,4,OPENHOLD,,1,
102,102,12,5,CARMEN,,1,
102,102,12,6,CARMEN,,1,
102,102,12,7,OPENHOLD,,1,
102,102,12,8,OPENHOLD,,1,
102,102,12,9,OPENHOLD,,1,
102,102,12,10,OPENHOLD,,1,
102,102,12,11,OPENHOLD,,1,
102,102,12,12,OPENHOLD,,1,
102,102,12,13,OPENHOLD,,1,
102,102,12,14,OPENHOLD,,1,
102,102,12,15,OPENHOLD,,1,
102,102,12,16,OPENHOLD,,1,
102,102,12,17,OPENHOLD,,1,
102,102,12,18,OPENHOLD,,1,
102,102,12,19,OPENHOLD,,1,
102,102,12,20,OPENHOLD,,1,
102,102,12,21,OPENHOLD,,1,
102,102,12,22,OPENHOLD,,1,
102,102,12,23,OPENHOLD,,1,
102,102,13,1,OPENHOLD,,1,
102,102,13,2,OPENHOLD,,1,
102,102,13,3,OPENHOLD,,1,
102,102,13,4,OPENHOLD,,1,
102,102,13,5,OPENHOLD,,1,
102,102,13,6,OPENHOLD,,1,
102,102,13,7,OPENHOLD,,1,
102,102,13,8,OPENHOLD,,1,
102,102,13,9,OPENHOLD,,1,
102,102,13,10,OPENHOLD,,1,
102,102,13,11,OPENHOLD,,1,
102,102,13,12,OPENHOLD,,1,
102,102,13,13,OPENHOLD,,1,
102,102,13,14,OPENHOLD,,1,
102,102,13,15,OPENHOLD,,1,
102,102,13,16,OPENHOLD,,1,
102,102,13,17,OPENHOLD,,1,
102,102,13,18,OPENHOLD,,1,
102,102,13,19,OPENHOLD,,1,
102,102,13,20,OPENHOLD,,1,
102,102,13,21,OPENHOLD,,1,
102,102,13,22,OPENHOLD,,1,
102,102,13,23,OPENHOLD,,1,
102,102,13,24,SALES-INVENTORY,,1,
102,102,13,25,SALES-INVENTORY,,1,
102,102,14,1,OPENHOLD,,1,
102,102,14,2,OPENHOLD,,1,
102,102,14,3,OPENHOLD,,1,
102,102,14,4,OPENHOLD,,1,
102,102,14,5,OPENHOLD,,1,
102,102,14,6,OPENHOLD,,1,
102,102,14,7,OPENHOLD,,1,
102,102,14,8,OPENHOLD,,1,
102,102,14,9,OPENHOLD,,1,
102,102,14,10,OPENHOLD,,1,
102,102,14,11,OPENHOLD,,1,
102,102,14,12,OPENHOLD,,1,
102,102,14,13,OPENHOLD,,1,
102,102,14,14,OPENHOLD,,1,
102,102,14,15,OPENHOLD,,1,
102,102,14,16,OPENHOLD,,1,
102,102,14,17,OPENHOLD,,1,
102,102,14,18,OPENHOLD,,1,
102,102,14,19,OPENHOLD,,1,
102,102,14,20,OPENHOLD,,1,
102,102,14,21,OPENHOLD,,1,
102,102,14,22,OPENHOLD,,1,
102,102,14,23,OPENHOLD,,1,
102,102,14,24,OPENHOLD,,1,
102,102,14,25,OPENHOLD,,1,
102,102,14,26,OPENHOLD,,1,
102,102,15,1,OPENHOLD,,1,
102,102,15,2,OPENHOLD,,1,
102,102,15,3,OPENHOLD,,1,
102,102,15,4,OPENHOLD,,1,
102,102,15,5,SALES-INVENTORY,,1,
102,102,15,6,OPENHOLD,,1,
102,102,15,7,OPENHOLD,,1,
102,102,15,8,OPENHOLD,,1,
102,102,15,9,OPENHOLD,,1,
102,102,15,10,OPENHOLD,,1,
102,102,15,11,OPENHOLD,,1,
102,102,15,12,OPENHOLD,,1,
102,102,15,13,OPENHOLD,,1,
102,102,15,14,OPENHOLD,,1,
102,102,15,15,OPENHOLD,,1,
102,102,15,16,OPENHOLD,,1,
102,102,15,17,OPENHOLD,,1,
102,102,15,18,OPENHOLD,,1,
102,102,15,19,OPENHOLD,,1,
102,102,15,20,OPENHOLD,,1,
102,102,15,21,OPENHOLD,,1,
102,102,15,22,OPENHOLD,,1,
102,102,15,23,OPENHOLD,,1,
